# 访谈记录翻译版

## 访谈基本信息
- **原始语言**：法语
- **翻译时间**：2025年12月19日
- **受访者代号**：Augustin
- **访谈时长**：约66分钟

## 访谈内容

【主持人】：[00:00:26] 你好，Augustin！我真的很高兴今天能和您交流。非常感谢您同意参加这次访谈。您今天还好吗？

【受访者】：[00:13:81] 你好，Nova。是的，我很好。

【主持人】：[00:18:35] 太好了，听到这个我很高兴。我想和您聊聊关于英语考试准备的经历，比如TOEIC、TOEFL或IELTS，更具体地说是为了通过这些考试而学习词汇的经历。我们的对话大约持续半小时，我真正感兴趣的是了解您在英语考试准备中的真实体验和具体需求。请随意分享您想到的任何内容——真的没有什么"标准答案"。我们可以开始吗？

【受访者】：[00:47:32] 很好，我在听。

【主持人】：[00:51:05] 完美。首先，Augustin，您能简单介绍一下自己吗？我想知道您目前的情况，无论是工作还是学习方面。

【受访者】：[01:01:15] 在学习方面，我现在是BBI（国际商务学士）三年级学生，目前需要参加TOEFL考试，为明年的交换项目做准备。

【主持人】：[01:17:06] 好的，我明白了。您是BBI三年级学生，正在准备TOEFL考试进行交换。您的专业是否具体要求特定的英语能力？

【受访者】：[01:30:34] 是的，我的专业要求英语能力。

【主持人】：[01:37:31] 好的。您能告诉我您的专业对英语具体有什么要求吗，Augustin？

【受访者】：[01:44:45] 要进入这个专业，必须在IELTS考试中获得6.5到7分之间的成绩。

【主持人】：[01:54:31] 我明白了。一旦进入专业后，是否还有与您的课程或学习项目相关的具体英语要求？

【受访者】：[02:03:63] 要参加特定的交换项目，需要通过TOEFL考试。

【主持人】：[02:10:74] 好的。所以要求主要与交换项目和TOEFL相关。在日常生活中，无论是个人还是专业方面，您使用英语的频率如何，Augustin？主要在什么情况下使用？

【受访者】：[02:24:86] 所有课程都是用英语授课的。

【主持人】：[02:28:55] 啊，这很有趣。所以您所有的课程都是英语授课。那么除了课程之外，还有其他情况下您会使用英语吗，无论是在个人生活还是职业生活中，Augustin？

【受访者】：[02:44:02] 可能会和同班同学用英语交流。

【主持人】：[02:49:88] 好的，我明白。您和同班同学用英语交流。在学校之外，有没有您使用英语的时候？

【受访者】：[03:01:58] 除了总是与学校相关的邮件交流之外，没有其他时候我会使用英语，除非是去旅行。

【主持人】：[03:15:90] 我很理解。所以主要是在学习框架内和旅行时使用。您目前的英语水平如何，Augustin？您通常如何学习或维持您的英语水平？

【受访者】：[03:29:89] 在英语方面，我在B2和C1之间，我是在学校学的英语。现在，为了维持我的英语水平，我每天在学校都说英语和听英语。

【主持人】：[03:47:57] 我很理解。当您说您在B2和C1之间时，这具体体现在哪些方面，Augustin？比如，是更多在理解、口语表达、阅读还是写作方面？

【受访者】：[04:01:04] 我通过了B2，然后是IELTS 6.5分，现在经过两年完全英语授课的学校教育，我想我的水平已经提高到更接近C1了。

【主持人】：[04:22:32] 好的，我明白。您有IELTS B2的参考点，您认为通过课程学习，您的水平已经向C1发展。在理解、表达、阅读或写作等具体方面，您感受到这种进步或您感到最舒适的是哪方面，Augustin？

【受访者】：[04:42:80] 现在，我在理解方面感到最舒适，因为所有课程都是英语授课的。表达更困难一些，阅读也和理解一样容易，写作同样有点复杂。

【主持人】：[05:03:17] 好的，很清楚。您在理解和阅读方面感到更舒适，在表达和写作方面稍微困难一些。您提到通过每天在学校说英语和听英语来学习和维持英语水平。您对这些方法的效果有什么感受，Augustin？

【受访者】：[05:24:09] 理解和阅读通过学校得到了提高，但要熟练掌握新词汇，非常有效。

